y,const,L,K,pop,edu,group,cl,Long,Lat
10.12078958,1,-7.608825369,-5.37570984,15.46790642,19,59,1,6.59321305,51.43680226
10.16742281,1,-7.616578833,-5.303276813,15.25491194,22.3,60,1,6.799469774,50.82699664
9.861878294,1,-7.702177966,-5.456389315,14.770137,18.8,61,1,7.423422228,51.95273878
10.00286022,1,-7.609589214,-5.380090177,14.53274529,18.1,62,1,8.785285381,51.93565822
9.897605501,1,-7.669502674,-5.524518936,15.14313978,17.5,63,1,8.006680435,51.31301808
9.865805959,1,-7.705518699,-5.381486927,14.23368127,19.3,64,1,7.504932118,50.25335806
9.773868388,1,-7.697551276,-5.398794283,13.15056203,20.2,65,1,6.676603714,49.97496369
10.00499929,1,-7.714183011,-5.256928505,14.50585381,21.1,66,1,7.942718537,49.46629729
9.952883665,1,-7.626651026,-5.31634628,13.87581513,17.9,67,1,6.953200842,49.38873357
9.641265274,1,-7.691060537,-5.197275594,14.34782562,33.3,68,1,14.13262518,51.17299942
9.560115174,1,-7.726817171,-5.33689543,14.34520897,30.9,69,1,12.79326503,50.71684145
9.697479527,1,-7.652263076,-5.122416772,13.8162303,34.8,70,1,12.68042015,51.35870596
9.568579949,1,-7.799057012,-5.332682704,14.77640365,27.1,71,1,11.71030389,52.00093464
9.918545561,1,-7.675150112,-5.373684505,14.83245716,21.5,72,1,9.811378955,54.17668245
9.573271722,1,-7.714984724,-5.318994199,14.69983992,30.5,73,1,11.02093787,50.90276538
10.27241694,1,-7.455653387,-5.047841586,14.2929862,40.9,74,1,12.90410062,55.69333176
9.741145751,1,-7.789086146,-5.599443065,13.57598353,26.4,75,1,11.72410185,55.25593695
9.96951274,1,-7.600050308,-5.358780769,13.97507513,25.5,76,1,9.436140619,55.35115442
10.00398415,1,-7.553999581,-5.341136932,13.98693967,28.8,77,1,9.40079767,56.25332122
9.931336626,1,-7.625422077,-5.428288126,13.26732915,23.5,78,1,9.676017225,57.05798559
8.962084844,1,-7.780786399,-6.174418288,14.15291094,28.7,79,1,25.54934115,58.66908515
9.927238457,1,-7.797612306,-5.433599129,15.17230402,22.1,80,1,23.60162122,37.79957289
9.388534381,1,-8.009216427,-5.889723477,12.1901973,11.5,81,1,26.08457871,38.82245432
9.867589332,1,-7.831217298,-5.624203537,12.63973641,10.3,82,1,26.31946947,36.72992128
9.603235537,1,-7.66479141,-5.72849188,13.2666888,14.5,83,1,24.80292357,35.22858215
9.433047175,1,-7.79467174,-5.706691437,13.27685114,12.5,84,1,25.13595554,41.16055436
9.501636138,1,-7.842785582,-5.479370892,14.42396549,17.5,85,1,22.957936,40.73609147
9.550223929,1,-7.955615281,-5.444076389,12.56577301,12.3,86,1,21.4817372,40.36581307
9.428321945,1,-7.878351133,-5.85586973,12.7327224,14.5,87,1,20.78260335,39.60240321
9.434116617,1,-7.880208168,-5.570538833,13.51367547,14.4,88,1,22.22618742,39.53495353
